S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu405	61	7	67	83	10	21	0	0	0	0	6	17	1
otu406	11	5	10	128	14	49	0	0	2	0	4	31	2
otu407	45	9	37	0	28	98	0	3	31	0	0	19	0
otu408	61	12	5	0	35	58	1	5	65	0	0	25	0
otu410	44	1	35	53	29	66	0	0	0	0	0	42	1
otu411	52	45	12	18	18	36	15	11	49	0	21	19	2
otu412	36	1	8	15	9	27	105	73	137	2	38	78	37
otu413	16	0	0	5	16	5	1	29	176	0	9	78	0
otu414	43	6	0	5	25	159	8	4	12	0	0	3	1
otu415	7	0	0	2	9	2	98	113	581	0	2	52	0
otu416	23	0	2	1	67	124	4	12	97	0	16	81	0
otu417	17	40	0	2	66	91	0	1	13	0	5	33	0
otu418	2	0	31	187	0	0	0	0	0	1	1	6	23
otu419	51	1	28	10	24	46	4	17	64	1	5	27	0
otu420	18	2	7	9	33	70	0	9	34	0	2	60	0
otu421	13	0	3	0	13	5	2	66	159	0	0	39	1
otu422	5	16	16	3	17	203	0	0	0	1	0	4	0
otu423	60	8	5	14	21	18	0	0	53	0	0	129	0
otu424	119	168	31	0	10	13	0	9	9	0	32	30	7
otu425	5	1	20	173	1	18	0	0	0	1	3	16	9
otu426	25	0	3	0	0	0	2	54	158	0	0	0	0
otu427	8	0	1	0	26	12	2	103	35	0	9	78	0
otu428	3	0	0	0	11	7	79	77	56	0	8	39	0
otu429	23	0	15	170	4	7	0	0	2	0	1	15	32
otu430	23	127	19	29	1	51	0	0	0	1	1	3	0
otu431	4	0	10	219	1	2	1	0	8	2	3	7	42
otu432	8	0	47	31	9	2	1	9	30	5	43	36	116
otu433	0	0	0	57	0	0	0	0	0	79	26	0	93
otu434	0	0	0	52	0	0	0	0	0	110	9	0	94
otu436	25	1	14	13	50	18	3	9	64	0	7	85	0
otu437	5	1	3	195	1	0	0	0	0	9	23	0	5
otu438	53	17	28	55	18	32	0	0	0	0	1	42	0
otu439	41	0	0	0	0	6	7	44	185	0	0	2	0
otu440	69	31	7	10	1	101	0	2	0	0	1	5	4
otu442	0	0	0	181	0	0	0	0	0	38	9	1	8
otu443	29	8	31	168	12	32	0	0	2	0	9	28	27
otu444	119	2	21	7	7	8	6	4	4	0	13	35	0
otu445	6	0	7	99	0	0	4	3	5	8	87	13	166
otu447	31	0	3	16	55	22	2	0	252	0	7	263	0
otu448	7	2	16	136	3	8	0	0	0	0	1	6	74
otu449	44	5	16	21	7	38	25	19	14	4	48	27	32
otu450	26	1	3	4	5	12	4	23	132	0	12	30	0
otu451	16	10	0	90	58	51	0	0	0	0	0	20	0
otu452	0	0	0	195	0	0	0	0	0	71	5	0	36
otu453	77	1	0	0	17	17	30	16	61	0	52	18	0
otu454	2	0	4	30	1	0	0	1	0	0	2	2	195
otu455	3	12	0	4	23	41	145	82	29	0	1	13	0
otu456	9	0	0	0	10	0	49	35	74	0	2	52	0
otu457	17	7	36	172	20	15	0	0	0	70	185	11	64
otu458	6	0	0	2	2	0	142	35	135	0	6	26	0
otu459	0	0	0	29	0	0	0	0	0	4	3	0	190
otu460	111	0	14	2	2	1	44	35	54	2	16	19	0
otu461	24	55	33	44	3	68	0	0	0	0	1	2	2
otu462	7	2	16	72	1	3	2	1	0	14	90	24	17
otu463	8	10	30	167	0	3	0	0	0	1	0	6	1
otu464	41	2	22	5	35	51	7	4	65	0	7	37	1
otu465	69	33	41	5	20	60	1	0	22	0	0	18	0
otu466	53	3	38	64	14	39	1	9	31	0	7	18	2
otu469	41	35	29	28	21	39	0	0	0	2	21	18	0
otu470	0	0	0	2	0	0	0	0	0	9	1	0	247
otu471	49	0	6	0	8	17	84	86	215	0	7	25	1
otu472	0	62	0	62	0	25	0	0	0	31	38	1	9
otu473	64	18	16	14	23	26	0	1	2	0	1	67	0
otu474	1	0	4	62	0	0	1	0	0	37	17	1	108
otu475	44	43	19	7	5	98	0	0	0	0	3	3	0
otu476	25	2	3	19	11	17	27	56	56	1	22	39	15
otu477	35	16	1	37	21	64	7	20	39	0	8	41	0
otu478	3	0	2	1	0	0	0	2	5	7	3	10	209
otu479	70	5	84	139	6	14	0	0	0	0	55	9	9
otu480	3	0	0	1	0	2	0	11	204	0	0	0	0
otu481	16	2	13	192	17	22	31	65	47	25	23	23	59
otu482	26	2	35	59	4	39	0	3	4	2	54	28	20
otu483	41	3	3	6	3	26	9	29	76	0	10	12	0
otu484	0	0	0	57	0	0	0	0	0	71	13	0	109
otu485	1	0	1	62	0	0	0	0	0	19	6	0	128
otu486	22	0	13	1	9	37	2	39	100	0	0	19	0
otu487	0	0	0	138	0	0	0	0	0	85	0	0	0
otu488	18	0	7	1	55	40	0	1	0	0	12	82	0
otu490	27	0	17	5	0	0	0	0	0	8	14	2	187
otu491	34	3	1	8	73	91	0	0	0	0	0	4	0
otu493	15	0	0	3	57	23	0	19	39	0	4	77	0
otu494	12	6	16	133	1	31	0	0	0	0	5	6	10
otu495	1	0	1	190	2	1	0	0	0	0	0	2	16
otu496	38	2	24	38	16	20	1	3	1	0	7	59	0
otu497	0	0	0	0	1	7	103	62	10	0	0	31	0
otu498	13	21	10	82	8	50	0	1	0	0	2	24	1
otu500	9	0	2	1	13	1	32	18	85	0	1	43	0
otu501	63	11	11	72	0	22	21	16	18	0	5	9	33
otu502	15	5	10	22	36	94	0	0	0	0	3	24	1
otu503	79	7	11	0	13	23	10	38	65	0	1	33	0
otu504	25	0	2	5	10	1	5	167	179	0	12	118	1
otu505	1	1	0	1	5	1	60	53	80	0	1	13	0
otu507	62	10	7	1	25	53	6	41	53	1	15	82	0
otu508	56	2	7	8	1	20	8	25	41	0	14	23	0
otu509	65	10	2	0	60	83	10	28	33	0	6	78	0
otu510	1	0	1	101	3	0	0	0	0	0	32	1	66
otu511	40	0	9	10	38	51	0	1	0	0	24	41	0
otu512	37	1	8	11	17	63	77	83	100	0	7	33	0
otu513	71	0	0	0	39	93	80	51	73	0	0	2	0
otu514	0	0	0	0	0	0	0	0	0	228	5	0	0
otu515	0	0	0	0	2	1	11	71	119	0	0	11	0
otu516	4	0	24	188	0	0	0	0	0	1	19	26	13
otu517	15	49	8	56	0	37	0	0	0	28	3	9	0
otu518	37	2	1	2	24	31	128	118	174	0	2	156	0
otu519	14	9	12	12	13	26	11	34	101	1	21	32	4
otu520	14	1	0	2	47	19	0	0	79	0	0	79	0
otu521	11	35	5	6	19	82	0	0	2	0	0	25	0
otu523	0	0	0	0	2	1	43	43	83	0	2	11	0
otu524	16	1	6	3	6	17	12	23	38	2	43	51	1
otu525	4	0	0	5	51	98	0	0	3	1	3	26	0
otu526	38	42	15	50	4	53	0	0	0	0	0	4	0
otu527	36	1	2	0	4	6	10	28	63	0	22	28	0
otu528	18	65	21	35	9	49	0	0	0	0	2	12	1
otu529	37	1	19	11	29	62	0	0	0	0	8	33	0
otu530	4	2	30	124	2	2	0	0	0	4	31	17	34
otu531	1	1	16	125	1	0	0	0	0	0	0	10	40
otu532	0	0	0	0	0	0	0	0	0	6	1	0	186
