accnos	align	path
otu166	b6de0f6b75aa751b94d950048ae175f48e953acb_630	98.6935806	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu167	23016f7ae9d8909b077daa1675e6043fc27b4e6d_602	99.1350021	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu168	3756d60ce7cfd982398fedf0c429d9d88e6f39fc_520	99.6028442	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;
otu169	8b5becaa4882a7d5a7ca25e2d9b12c79b88b9270_547	99.1068802	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromusa;
otu170	bc33814ac9f54a722985b52a07344015784c2a1d_455	99.5917587	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;PHOS-HE36;
otu172	68b48e5c2159d5ca446167c910759a590de234ba_910	99.6030273	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu173	b5a182c5c8defb1ff1853e1c6b5fd4b35907c5e2_744	99.5916672	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;PHOS-HE36;
otu174	b61bf3fbb63bb80a282284bb6924d5f0d10627d7_449	99.3443451	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;
otu176	0e4cc674233e4ff7bce177f4e50b2bb966e7a1ae_485	99.3664856	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;
otu177	922d878f29151a1483ad313e0bbaba53f02066cb_543	96.7961044	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu179	a1f00824da46cee63b9f0f427afbbd662e679100_594	99.6061707	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu181	f810b8c0ef51790a494850fb94c0a64294373b22_491	99.6064987	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu182	601f4f294c4d709f7821066b4c5fe99018bc3f57_436	99.3289185	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu183	99b60babce704cdf527ecfae7e93f855013835d1_586	99.2653198	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus;
otu184	c0aa4c7d1f65990108e60ed28be60f72e8b2fa15_475	98.4588318	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Thermodesulfovibrio;
otu185	5d2fdabf272795ba5b5bfab3a641d26042835a83_441	99.580864	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
otu186	b96bea6e1efbbad690327d418783db0ce06b00fa_439	98.9772644	Bacteria;Candidate division WS3;
otu187	50f461ae205e4007a2c6d502217c5f09a6d3c180_726	99.6064453	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu188	bc606472df5f3529d7a14258cb1ce255f6eaba75_425	99.5644608	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu191	9e154ae485befd2512a2b88f63137d6ac04482bf_519	98.8848114	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;
otu192	41fd97ef642daec45550bdcda7b600b093cfa809_442	99.2278671	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;
otu193	2108d92b2e54bda802302a36efc0eaa361ad1e93_442	99.1137543	Bacteria;Proteobacteria;Gammaproteobacteria;
otu194	5cfc9eb48cb41d7fd72e1b0e61a58530a4d8f853_433	99.2979431	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu195	9c85a8c02920faeb09c5b8506e61f4bfb48662d5_439	99.5905304	Bacteria;Acidobacteria;Holophagae;Subgroup 10;Sva0725;
otu196	3a5a993efd1ac91aa3a0116ea8cc3dbe0d59bfe7_431	99.0466385	Bacteria;Proteobacteria;Gammaproteobacteria;
otu198	5dfdd507a486efd67692d2f83a81e0f3bacd0489_490	98.7271271	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
otu199	aca2308789663949f48eb1475a1eb06ca1f69df5_436	99.3585968	Bacteria;Candidate division WS3;
otu200	038815a9c12bd84978a54c0bcc9facca76858c93_593	99.6050491	Bacteria;Acidobacteria;Holophagae;Subgroup 23;
otu201	2cd3e88eeba7c71d93e4fcd2fef13bb5b46c3b6c_411	99.3571396	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina;
otu202	3bd453d32745eeb6be8c22511404e486c6434e19_433	99.5854645	Bacteria;Bacteroidetes;VC2.1 Bac22;
otu203	401dddde3e267be64d954910d64b5b598c00483c_657	97.9377365	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;
otu204	81b83f51cd2ff2f30df0d5e0e7c00d102e2f309e_520	99.1133728	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu205	de9df200747d7c5710bdb0b27aabe5f0b4ae018d_410	99.2086792	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu206	dd9a41221b6ba711eca39a10a99c0ca77e2a850d_985	97.2612991	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;
otu207	ca68d211095936a2de209e6206db6de3ac9b364f_412	99.5926895	Bacteria;Acidobacteria;Holophagae;Subgroup 10;Sva0725;
