S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu349	0	0	0	0	0	0	0	0	0	0	0	0	85
otu351	0	89	0	0	0	0	0	0	0	0	0	0	0
otu352	5	0	0	0	0	70	0	0	0	0	0	0	0
otu353	0	79	0	0	2	0	0	0	13	0	1	0	0
otu354	0	82	0	0	0	0	0	0	0	0	0	0	0
otu355	0	0	0	0	0	0	0	49	67	0	0	0	0
otu356	55	3	15	0	0	0	0	0	2	0	12	0	1
otu357	17	58	0	0	1	2	0	0	0	0	0	0	0
otu358	0	0	0	79	0	0	0	0	0	1	0	0	3
otu360	15	51	1	0	0	13	0	0	0	0	0	0	0
otu362	3	11	0	35	27	43	0	6	3	0	0	4	0
otu364	18	79	0	0	3	0	0	0	0	0	0	0	0
otu367	4	26	11	0	0	24	0	0	0	0	9	1	0
otu370	13	0	29	0	14	18	0	0	0	0	1	7	0
otu371	0	53	0	16	0	17	0	0	0	0	0	0	0
otu372	2	34	0	17	2	27	0	0	0	0	0	0	0
otu373	0	0	0	0	16	40	0	2	12	0	0	2	0
otu375	0	0	3	66	4	1	0	0	0	0	0	3	0
otu376	0	77	0	0	0	16	0	5	0	0	0	0	0
otu378	5	0	0	0	18	0	0	22	24	0	5	24	0
otu379	0	0	1	0	0	0	0	44	36	0	0	0	0
otu380	7	0	12	39	13	0	0	2	0	0	7	8	1
otu382	0	75	0	0	0	0	0	0	0	0	0	0	0
otu383	2	0	0	14	1	0	52	19	9	0	19	2	0
otu384	1	75	2	4	0	0	0	0	0	0	0	0	0
otu385	0	0	0	0	30	51	0	0	6	0	0	0	0
otu386	0	0	0	0	2	0	48	77	14	0	15	2	1
otu389	24	0	0	0	41	3	0	4	0	0	0	0	0
otu391	0	50	18	0	0	3	0	0	0	0	0	0	0
otu394	0	60	0	22	0	0	0	0	0	6	0	0	0
otu397	44	4	0	0	3	15	0	0	16	0	0	0	0
otu398	0	0	0	0	0	0	68	0	0	0	0	0	0
otu399	29	0	20	0	4	0	0	0	0	0	0	21	0
otu400	0	0	0	0	0	72	0	0	0	0	0	0	0
otu401	0	0	23	44	0	0	0	0	0	0	0	0	0
otu403	8	56	2	3	0	13	0	0	0	0	0	0	0
otu404	60	0	11	0	0	0	0	0	0	0	0	0	0
otu406	5	0	0	50	14	0	0	0	0	0	0	0	0
otu408	0	0	0	0	5	68	0	0	0	0	0	0	0
otu409	5	5	0	0	0	8	0	3	2	0	43	1	0
otu411	0	27	13	17	5	1	0	0	0	0	2	25	0
otu412	0	0	38	0	0	0	10	2	0	0	8	13	0
otu413	15	0	14	0	16	0	0	0	24	0	0	14	0
otu414	4	0	0	9	48	33	0	11	8	0	2	8	0
otu416	0	27	0	10	2	40	0	0	0	19	3	0	1
otu417	7	0	0	9	24	16	0	37	14	0	0	1	0
otu418	0	57	0	11	0	0	0	0	0	0	0	0	0
otu419	0	5	1	74	3	0	0	0	0	0	0	0	0
otu420	0	0	0	0	0	81	0	0	0	0	0	0	0
otu421	0	0	0	0	1	0	10	31	33	0	0	0	0
otu422	0	0	23	31	0	0	0	0	0	8	3	2	7
otu423	0	0	1	66	0	0	0	0	0	0	1	0	0
otu424	16	3	0	6	27	4	0	9	4	0	1	5	0
otu426	12	30	26	4	0	0	0	0	0	0	0	1	0
otu427	54	0	7	0	5	5	0	4	7	0	1	0	0
otu428	0	0	0	0	0	0	99	48	10	0	0	1	0
otu429	2	0	0	0	30	38	0	0	0	0	0	0	0
otu430	9	0	0	0	3	0	5	17	9	0	5	24	0
otu432	0	0	0	33	0	0	0	0	0	29	5	0	34
otu433	0	0	0	0	0	0	18	57	0	0	0	0	0
otu434	4	3	4	50	0	0	0	0	0	0	19	1	0
otu436	0	0	0	0	0	0	22	47	8	0	0	3	0
otu438	0	0	0	0	0	0	1	87	2	0	8	0	0
otu441	0	0	0	74	0	0	0	0	0	0	0	0	0
otu442	1	3	0	14	10	26	0	2	1	0	0	1	0
otu443	0	0	0	0	3	0	0	17	48	0	0	1	0
otu444	0	3	0	75	1	0	0	0	0	0	0	0	0
otu445	21	18	3	38	4	12	0	0	0	0	2	0	0
otu447	1	4	2	51	1	3	0	0	0	0	0	0	0
otu451	1	0	0	76	0	0	0	0	0	6	5	0	0
otu453	0	0	0	0	0	0	0	62	0	0	0	0	0
otu456	4	23	0	4	2	31	0	0	0	0	0	0	0
otu457	2	0	0	0	21	0	1	35	3	0	1	28	0
otu459	34	0	0	40	7	3	0	1	6	0	3	6	0
otu460	0	0	3	65	0	0	0	0	0	0	0	0	0
otu461	28	39	0	0	0	2	0	0	0	0	0	1	0
otu463	0	0	0	105	0	0	0	0	0	3	0	0	4
otu464	3	0	0	0	58	8	0	0	0	0	1	2	0
otu465	5	42	0	0	0	0	0	0	0	0	7	0	0
otu466	0	11	0	0	0	0	0	0	0	50	5	0	0
otu467	0	0	0	62	0	0	0	0	0	0	20	0	0
otu468	0	0	0	60	0	0	0	0	0	0	0	0	0
otu470	53	23	3	34	0	2	0	3	15	0	0	1	0
otu471	0	0	0	65	0	0	0	2	0	0	0	0	0
otu472	0	0	0	58	0	1	0	0	0	0	0	0	0
otu473	7	0	0	1	1	0	7	6	11	0	41	5	0
