Longitude	Depth	Chla
528	-41.7503	40	0.03
529	-41.7503	45	0.03
530	-41.7503	50	0.04
531	-41.7503	55	0.04
532	-41.7503	60	0.04
533	-41.7503	65	0.04
534	-41.7503	70	0.05
535	-41.7503	75	0.05
536	-41.7503	80	0.06
537	-41.7503	85	0.06
538	-41.7503	90	0.07
539	-41.7503	95	0.07
540	-41.7503	100	0.08
541	-41.7503	105	0.09
542	-41.7503	110	0.1
543	-41.7503	115	0.1
544	-41.7503	120	0.09
545	-41.7503	125	0.08
546	-41.7503	130	0.07
547	-41.7503	135	0.06
548	-41.7503	140	0.06
549	-41.7503	145	0.05
550	-41.7503	150	0.05
551	-41.7503	155	0.05
552	-41.7503	160	0.04
553	-41.7503	165	0.04
554	-41.7503	170	0.04
555	-41.7503	175	0.04
556	-41.7503	180	0.03
557	-41.7503	185	0.03
558	-41.7503	190	0.03
559	-41.7503	195	0.03
560	-41.7503	200	0.03
561	-40.2502	5	0.02
562	-40.2502	10	0.03
563	-40.2502	15	0.03
564	-40.2502	20	0.03
565	-40.2502	25	0.03
566	-40.2502	30	0.03
567	-40.2502	35	0.03
568	-40.2502	40	0.03
569	-40.2502	45	0.04
570	-40.2502	50	0.04
571	-40.2502	55	0.04
572	-40.2502	60	0.04
573	-40.2502	65	0.04
574	-40.2502	70	0.05
575	-40.2502	75	0.05
576	-40.2502	80	0.05
577	-40.2502	85	0.07
578	-40.2502	90	0.09
579	-40.2502	95	0.12
580	-40.2502	100	0.15
581	-40.2502	105	0.19
582	-40.2502	110	0.19
583	-40.2502	115	0.15
584	-40.2502	120	0.11
585	-40.2502	125	0.09
586	-40.2502	130	0.07
587	-40.2502	135	0.06
588	-40.2502	140	0.06
589	-40.2502	145	0.05
590	-40.2502	150	0.05
591	-40.2502	155	0.04
592	-40.2502	160	0.04
593	-40.2502	165	0.04
594	-40.2502	170	0.04
595	-40.2502	175	0.03
596	-40.2502	180	0.03
597	-40.2502	185	0.03
598	-40.2502	190	0.03
599	-40.2502	195	0.03
